spot_id,name,category,ward,address,latitude,longitude,description,source_url
1,아티존 미술관,미술관·박물관,,,35.678749,139.7721285,,
2,도쿄도 사진미술관,미술관·박물관,,,35.641543,139.7133962,,
3,국립 자연 교육원,기타,,,35.6397288,139.7177804,,
4,간제 노가쿠 극장,공연·문화시설,,,35.6620432,139.6935718,,
5,구라마에 물의관,기타,,,35.7016508,139.7913627,,
6,시모야마 국철 총재 추억비,기념비·동상,,,35.7609876,139.8155179,,
7,가라스모리 신사,신사·사찰,,,35.6667952,139.7568175,,
8,니이지마 모야이 상,기념비·동상,,,35.5623746,139.7169699,,
9,묘후쿠지,신사·사찰,,,35.6011445,139.6920211,,
10,일본기독교단 요요기우에하라 교회,교회·종교시설,,,35.6656958,139.6774391,,
11,텐리교 하라주쿠 분교단,교회·종교시설,,,35.6673128,139.6769193,,
12,고신즈카 고분,기타,,,35.6415853,139.4340497,,
13,아오키바 텐만구,신사·사찰,,,35.6162754,139.4270387,,
14,아사마산,자연·산·공원,,,35.681265,139.5024655,,
15,스리바치산,자연·산·공원,,,24.7504717,141.2891706,,
16,아오키산 도후쿠지,신사·사찰,,,35.6215201,139.4285536,,
17,에비스 신사,신사·사찰,,,35.6472232,139.7077849,,
18,이노하나 위령비,기념비·동상,,,35.6397366,139.2574158,,GPS
19,미카와시마 사고 위령비,기념비·동상,,,35.7356233,139.7796059,,
20,묘조지,신사·사찰,,,35.6657457,139.7354859,,
21,일본 축구 박물관,미술관·박물관,,,35.7042546,139.7639427,,(URL)
22,이치리즈카,기타,,,35.7469636,139.7413075,,
23,중근동 문화센터,공연·문화시설,,,35.688788,139.5345824,,
24,가구라자카 와카미야 하치만구,신사·사찰,,,35.6997288,139.7401145,,
25,오무라 마스지로 동상,기념비·동상,,,35.6947998,139.7463792,,
26,시바 도쇼구,기타,,,35.6550961,139.7486263,,
27,텐리교 미나미토시마 분교회,교회·종교시설,,,35.6564245,139.6460778,,
28,미나미오야 천신사,신사·사찰,,,35.5551572,139.4602487,,
29,하마다야마 기독교회,교회·종교시설,,,35.6833613,139.6311935,,
30,하쿠산 신사,신사·사찰,,,35.6869591,139.6371745,,
31,우에노노모리 미술관,미술관·박물관,,,35.7128522,139.7747663,,KSJ2
32,군사 열병 나무,기타,,,35.6759341,139.7208478,,
33,에이후쿠지,신사·사찰,,,35.6722482,139.6441076,,
34,하치만 신사,신사·사찰,,,35.6752302,139.6304234,,
35,가톨릭 키타미 교회,교회·종교시설,,,35.6376173,139.5878117,,
36,센가와 교회,교회·종교시설,,,35.6575565,139.5896523,,
37,松林寺,신사·사찰,,,35.6863829,139.6208533,,
38,쇼린지,신사·사찰,,,35.6643884,139.6517175,,
39,후시미산 쇼보지,신사·사찰,,,35.6639113,139.6518863,,
40,조토쿠지,신사·사찰,,,35.6632582,139.6518698,,
41,엔주지,신사·사찰,,,35.6637858,139.6521181,,
42,묘쇼지,신사·사찰,,,35.7159485,139.617619,,
43,쇼안 이나리 신사,신사·사찰,,,35.6994917,139.5958193,,
44,하네기 신사,신사·사찰,,,35.6682406,139.6576868,,
45,100주년 기념관,기념비·동상,,,35.663664,139.6343009,,
46,에이후쿠 이나리 신사,신사·사찰,,,35.6725708,139.6428235,,
47,호케슈 리쇼지,신사·사찰,,,35.6793544,139.6357336,,
48,세이린잔 도카쿠인,자연·산·공원,,,35.6562648,139.6136035,,
49,관음인,기타,,,35.6495653,139.610513,,
50,간교지,신사·사찰,,,35.7181766,139.7588188,,
51,도쿄 성 티모테 교회,교회·종교시설,,,35.7191464,139.7590348,,
52,사이쿄지,신사·사찰,,,35.7172124,139.7590029,,
53,갤러리 TEN,미술관·박물관,,,35.7210239,139.7647079,,
54,마지마 이나리 신사,신사·사찰,,,35.7210493,139.7659237,,
